track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
The History,0.022,0.569,0.437,0.576,0.215,-8.132,0.0468,0.267,89.017
Sand And Sea,0.0112,0.726,0.261,0.56,0.0918,-9.73,0.192,0.379,180.361
The Dark Night And I,0.949,0.604,0.0258,0.907,0.228,-23.121,0.0322,0.0363,73.965
The Silence,0.126,0.716,0.224,0.847,0.113,-16.625,0.0463,0.105,159.988
Everything Is Fine,0.479,0.744,0.46,0.0391,0.347,-8.361,0.181,0.625,82.001
Hot,0.507,0.719,0.429,0.879,0.123,-17.841,0.0413,0.402,90.039
Alone,0.0108,0.708,0.398,0.0775,0.211,-10.662,0.056,0.328,152.022
Sad And Alone,0.576,0.683,0.186,0.93,0.153,-20.322,0.137,0.789,85.011
Lonely Street,0.903,0.82,0.33,0.894,0.133,-11.344,0.0471,0.218,120.107
My Dog,0.889,0.653,0.108,0.907,0.16,-14.687,0.0932,0.294,176.071
Nobody's Children,0.945,0.701,0.173,0.28,0.437,-21.134,0.0344,0.176,80.005
Coffee And To Study,0.757,0.802,0.221,0.851,0.11,-13.733,0.0714,0.271,140.003
Thanks Mom,0.127,0.826,0.341,0.712,0.103,-12.88,0.0545,0.132,139.803
For No Reason,0.977,0.491,0.521,0.94,0.173,-16.562,0.579,0.173,102.618
Clash Of Worlds,0.0979,0.818,0.329,0.858,0.103,-12.791,0.0456,0.142,139.855
Japanese Chill - Beat Instrumental,0.584,0.65,0.446,0.881,0.126,-12.52,0.177,0.817,169.737
Sad Summer 2020 - Instrumental Beat,0.00208,0.654,0.337,0.309,0.179,-10.387,0.0358,0.961,80.558
Coffee & Rain Chillout - Instrumental Beat,0.174,0.482,0.516,0.932,0.236,-10.178,0.377,0.225,84.775
Chillhop Jazzhop - Beat Instrumental,0.0554,0.678,0.467,0.836,0.118,-12.881,0.213,0.324,178.155
Jazz Fusion - Instrumental,0.205,0.655,0.591,0.979,0.428,-10.719,0.0727,0.555,180.224
Night Study Beat - Instrumental,0.755,0.692,0.628,0.698,0.148,-7.057,0.0931,0.442,86.918
Lofi Hip Hop Sleep & Relax - Beats Intrumental,0.823,0.693,0.459,0.855,0.111,-10.81,0.183,0.375,93.133
Ghibli Sleep - Lofi Hip Hop,0.578,0.573,0.39,0.0294,0.208,-11.375,0.0424,0.428,79.616
Motivational Beat - Lo-fi Hip Hop,0.576,0.613,0.534,0.0406,0.29,-9.575,0.113,0.618,90.155
Chillhop Cafe - Instrumental Beat,0.53,0.531,0.385,0.936,0.244,-9.473,0.0585,0.255,77.572
Lofi Old Dogs & Cats,0.845,0.741,0.356,0.918,0.0916,-11.689,0.0947,0.328,84.994
Most Of The Night Is LoFi,0.957,0.742,0.365,0.91,0.0739,-13.245,0.0759,0.92,90.002
Chill Cow Lo-Fi Study Beat,0.254,0.629,0.29,0.53,0.107,-10.44,0.0395,0.398,90.039
Morning Coffee & Lo-Fi Chill,0.938,0.783,0.2,0.901,0.0788,-18.898,0.0435,0.435,85.518
Sleep Radio Lofi 2021,0.958,0.754,0.449,0.721,0.0852,-16.594,0.317,0.851,170.994
What The Lofi Verdict,0.937,0.486,0.231,0.919,0.0983,-17.128,0.0354,0.265,79.99
Why Lofi Got Lost,0.505,0.691,0.817,0.572,0.119,-10.061,0.0638,0.956,100.015
Searching For The Stars,0.916,0.639,0.204,0.928,0.0719,-14.477,0.0423,0.183,80.068
Midnight Sleep & Study,0.89,0.614,0.372,0.968,0.25,-19.784,0.074,0.0737,85.009
The Lofi Farm,0.737,0.324,0.196,0.932,0.138,-28.125,0.157,0.398,84.553
